surname ,name ,Sender_account,Receiver_account,Transaction_amount,Old Balance,NewBalance,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,FraudResult,"Laundering_type,"
White,BLESSED,795274746,2138505015,131651.8,17300000,17437981.97,us dollar,rands,ZIM,UAE,Cross-border,0,"Normal_Fan_In,"
Chidowe,HELLY CHAWAPIWA,403526894,9251224425,285805.63,11836916.13,12122721.77,us dollar,US dollar,ZIM,Singapore,Cross-border,1,"Behavioural_Change_1,"
DUBE,SEAN KUDAKWASHE,582717708,7892884492,108075.88,12620282.84,12728358.72,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
Everett,David,9880098011,7892884492,12077.53,345944.83,333867.3,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
Gomez,Timothy,6465569488,9110195020,694.41,10645,9950.59,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Small_Fan_Out,"
HAMUNAKWADI,Felicia,8600069993,7892884492,364.39,20896,20531.61,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
HANDINA,Teresa,4445307770,7892884492,10689.8,20492,9802.2,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
Hudson,Joanna,6953025430,8540332707,707.83,216082,215374.17,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Small_Fan_Out,"
Johnston,Michelle,9880098011,7892884492,1038.89,36853,35814.11,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
Jones,Jennifer,4473647189,7892884492,198.22,10853,10654.78,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
Key,Krystal,3885905606,658360688,3236.86,21393,18156.14,us dollar,US dollar,ZIM,Singapore,Cross-border,1,"Behavioural_Change_1,"
Love,NYARADZO,582717708,7892884492,106079.92,10221365.59,10327445.51,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
Lowe,Lisa,7227951716,3427964756,9916.44,20583,10666.56,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Small_Fan_Out,"
MADZIMBE,Samuel,9113661665,7892884492,2515.34,15256,12740.66,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
Mashaire,RUMBIDZAI ROTCHELL,1929116626,7892884492,5920.32,9906,3985.68,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
Mashakada,FLORENCE SHUPIKAI,1929116626,7892884492,18293.81,60205.42,41911.6,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
Mburuma,Jessica,2601687073,7892884492,3041.99,50818,47776.01,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
MUDGONI,Megan,3952347143,7892884492,7303.73,57854,50550.27,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
Nolan,Sabrina,3615998000,7879979420,1557.62,19809,18251.38,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Small_Fan_Out,"
RAKATSINZWA,Kevin,9334364016,7892884492,8985.46,20386,11400.54,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
RAPUKENI,Brandy,9334364016,7892884492,74408.42,151538.82,77130.4,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
RIMAYI,Justin,9334364016,7892884492,5401.29,76388.05,70986.76,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
ROBI,Tyler,9334364016,7892884492,8205.01,21420,13214.99,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
RONGAI,Scott,9334364016,7892884492,5391.44,12154,6762.56,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
Smith,George,4473647189,7892884492,7847.65,41051,33203.35,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
Tsanyawo,Gina,5706877708,7892884492,906.78,36932.95,36026.17,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
TSINGANO,Rachel,5706877708,7892884492,9203.31,29753.25,20549.94,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
TSONGORA,Lindsay,5706877708,7892884492,10902.77,55567,44664.23,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
Whitney,Ashley,4711995584,3511049612,10122.53,60357.66,50235.13,rands,US dollar,ZIM,Singapore,Cross-border,1,"Layered_Fan_Out,"
Williams,Lauren,3952347143,7892884492,9731.67,10805,1073.33,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
WILLIS,Jennifer,5748489103,5971760311,145.87,224,78.13,us dollar,US dollar,ZIM,Singapore,Cross-border,1,"Behavioural_Change_1,"
ZAMBU,Rachel,5753088795,7892884492,12847.97,39772,26924.03,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
ZHANJE,Amy,5774648533,7892884492,4347.78,20766,16418.22,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
ZINGWENA,John,5774648533,7892884492,1680.88,20388,18707.12,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
ZINYEMBA,Melanie,5774648533,7892884492,13203.01,19969,6765.99,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_In,"
ZIYADUMA,Cristian,5825377846,250142155,3549.66,20228,16678.34,us dollar,US dollar,ZIM,Singapore,Cash Withdrawal,1,"Cash_Withdrawal,"
ZIZHOU,Rachel,5825377846,250142155,17452.44,59971,42518.56,us dollar,US dollar,ZIM,Singapore,Cash Withdrawal,1,"Cash_Withdrawal,"
ZORAUNYE,Lisa,5825377846,250142155,17628.83,21217,3588.17,us dollar,US dollar,ZIM,Singapore,Cash Withdrawal,1,"Cash_Withdrawal,"
ZUMBANI,Tyler,5825377846,250142155,3346.22,12983,9636.78,us dollar,US dollar,ZIM,Singapore,Cash Withdrawal,1,"Cash_Withdrawal,"
ZUZE,Renee,5825377846,250142155,10528.17,21789,11260.83,us dollar,US dollar,ZIM,Singapore,Cash Withdrawal,1,"Cash_Withdrawal,"
BAMU,Denise,3510078932,2749487707,4354.58,6032,1677.42,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_Out,"
Chaora,PANASHE EXPERIENCE,136050916,2534644942,13048.61,21308,8259.39,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
CHAPARADZA,Christie,7965472676,6646502650,1074.55,27194,26119.45,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
CHAPARIKA,Robert,7965472676,6646502650,15711.88,23917.38,8205.5,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Chapepa,DAPHINE RUVIMBO,188929394,5862848172,3581.37,21308,17726.63,us dollar,US dollar,ZIM,Zambia,Cross-border,1,"Deposit-Send,"
CHARUKA,Erin,7965472676,6646502650,17474.37,19856,2381.63,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Chasi,AUDREY,229007460,7827518643,6318.31,40635,34316.69,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Small_Fan_Out,"
Chidzomba,DEPHINE SHEBA,403526894,1181210781,83600.86,10076380.91,10159981.77,us dollar,US dollar,ZIM,Zambia,Cross-border,1,"Behavioural_Change_1,"
CHIHOKO,PANASHE,531041847,5621788298,14355.16,11141213.93,11155569.09,us dollar,US dollar,ZIM,Zambia,Cross-border,1,"Behavioural_Change_1,"
CHIKUNI,Allison,8147726877,6646502650,2836.24,47988,45151.76,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
CHIKUNI,William,8147726877,6646502650,2395.08,9950,7554.92,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
CHINBANDA,Sarah,9580371702,6646502650,3495.74,20289,16793.26,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
CHIPANGO,Vincent,7837354873,2534644942,2464.3,5742529.79,5740065.49,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Choi,Christopher,4353995266,6646502650,7679.88,102655,94975.12,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Curtis,Margaret,4353995266,6646502650,5073.81,11351,6277.19,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Daniels,Rachel,4117755003,6646502650,190106.77,199406,9299.23,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Daugherty,Amy,5218904199,6646502650,312.47,332,19.53,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Davis,NELLY KUDZAISHE,1226944129,2534644942,432587.62,10878609.79,11311197.41,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Davis,Jackie,6123762963,6053228415,7114.57,10645,3530.43,us dollar,Rands,ZIM,Zambia,Cross-border,1,"Behavioural_Change_1,"
Dominguez,DESMOND,892793859,9346701114,24135.88,11710101.87,11734237.75,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Small_Fan_Out,"
Everett,David,8212330109,2534644942,1576.78,18417,16840.22,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Flores,Michael,4696164729,7882637641,6382.5,21022,14639.5,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Small_Fan_Out,"
Flores,Michael,8212330109,2534644942,4372.57,11381,7008.43,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Ford,SAUL MUNASHE,1226944129,2534644942,228910.75,10180767.1,10409677.86,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Francis,Michael,2793197858,833496961,399.93,11622.81,11222.88,us dollar,US dollar,ZIM,Zambia,Cross-border,1,"Gather-Scatter,"
Gamble,Crystal,7512140206,6646502650,21340.46,30779,9438.54,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
GOMERA,John,8465013530,2534644942,2375.33,30911,28535.67,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
GONDO,Michael,8465013530,2534644942,6146.81,123877,117730.19,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
GONDO,Ana,8465013530,2534644942,8309.61,10319,2009.39,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
GONDO,Chris,8465013530,2534644942,1376.66,330890,329513.34,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
GONDOKONDO,Samuel,8465013530,2534644942,7959.8,10673,2713.2,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Guerra,DANIEL,1226944129,2534644942,190697.48,12120526.83,12311224.31,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
GUVHEYA,Michael,8523021855,2534644942,7291.27,10635,3343.73,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
GUZHA,Robin,8523021855,2534644942,8564.73,10191,1626.27,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
GWARADA,Brandy,8523021855,2534644942,5055.39,50818,45762.61,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Hayes,Travis,3712660061,2534644942,8593.61,20489,11895.39,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Hensley,Edward,5264015348,6646502650,170504.65,605131.64,434626.99,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Hwacha,DESIRE KEBBY,1182528804,2534644942,197884.9,10411067.29,10608952.19,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Hwami,EMMANUEL,1182528804,2534644942,285259.73,10126418.75,10411678.48,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Jackson,RODNEY TAKUDZWANASHE,869649682,2534644942,337130.04,19100000,19437004.31,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Jenkins,William,4117755003,6646502650,4808.53,11035,6226.47,Rands,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Johnson,Christopher,4117755003,6646502650,7296.72,44442.04,37145.32,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
JOMBE,Jennifer,7877700106,2534644942,710.32,6024,5313.68,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Jones,Corey,6456964355,6646502650,372.34,65254,64881.66,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
KAHONDO,Elizabeth,7877700106,2534644942,14775.56,49632.45,34856.89,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
KAMUCHURUKA,Brandy,7877700106,2534644942,8613.53,21304,12690.47,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
KANYONGANISE,Allison,8849558846,9108447968,101514.32,106706,5191.68,us dollar,Rands,ZIM,Zambia,Cross-border,1,"Structuring,"
KATSANDE,Elizabeth,8898696157,6646502650,1916.28,33036,31119.72,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
KATSANDE,Dylan,8898696157,6646502650,6100.82,24428,18327.18,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
KATSANDE,Margaret,8898696157,6646502650,12157.49,20875,8717.51,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
KATSANDE,Stanley,8898696157,6646502650,20342.17,22300,1957.83,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
KAWAZVA,Lance,8957068054,6207125149,10677.94,60598,49920.06,us dollar,Rands,ZIM,Zambia,Cross-border,1,"Layered_Fan_Out,"
Lam,Margaret,9233324207,9108447968,8948.03,11137,2188.97,us dollar,Rands,ZIM,Zambia,Cross-border,1,"Structuring,"
Logan,Anna,5309124465,2534644942,6205.12,69335,63129.88,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
MACHONA,Vincent,9053053995,6646502650,1379.78,58528,57148.22,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Makuvaza,MIKE TELFORD,1233589069,9108447968,27331.59,10550678.54,10578010.13,us dollar,US dollar,ZIM,Zambia,Cross-border,1,"Structuring,"
Manyeruke,BLESSING TAWANDA,1483277195,4726958637,122273.81,20800000,20884618.34,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Small_Fan_Out,"
MARAKURWA,Margaret,7837354873,2534644942,3987.06,5007,1019.94,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Maringe,Linda,1817675963,6646502650,2006.44,31555,29548.56,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Maringwa,Stanley,1817675963,6646502650,13200.02,150056,136855.98,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Marisa,Harry,1817675963,6646502650,8791.02,41330,32538.98,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Martinez,Sherry,8212330109,2534644942,1385.23,30603,29217.77,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Masiyarwa,TATENDA NELISA,2047410771,6646502650,29587.32,31479.11,1891.79,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Masocha,JUDITH,2047410771,6646502650,1410.56,21669,20258.44,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Masoha,NYASHA MARTIN,2047410771,6646502650,11708.18,21378,9669.82,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Masoka,NAUME,2047410771,6646502650,19543.92,20546,1002.08,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Maumbe,WAYNE,2299676190,2534644942,52.12,918,865.88,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Maunga,PATIENCE MUNASHE,2299676190,2534644942,1962.68,5638,3675.32,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Maunze,HONEST MAKONO,2299676190,2534644942,513.5,10901,10387.5,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Mautsa,PANASHE,2299676190,2534644942,3050.43,10365,7314.57,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Mautsahuku,Kristina,2299676190,2534644942,8112.91,21072,12959.09,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Mbwanda,Linda,2603494478,6646502650,3454.32,5032,1577.68,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Mbwera,Andrea,2616388803,2534644942,6748.38,17008,10259.62,us dollar,US dollar,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Mcdonald,Billy,4121324384,148220861,7481.76,41487,34005.24,Rands,Rands,Spain,Zambia,Cross-border,0,"Normal_Fan_Out,"
Mendez,Margaret,6456964355,6646502650,10313.59,11047,733.41,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
MUROWE,Jack,7837354873,2534644942,3774.99,20306,16531.01,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
MUTIZAMHEPO,Christine,4117755003,6646502650,1819.61,11128,9308.39,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Perry,William,2889112657,9108447968,4157.21,11218,7060.79,us dollar,pula,ZIM,Zambia,Cross-border,1,"Structuring,"
Peters,John,4121324384,148220861,13650.5,21703,8052.5,rands,Rands,Spain,Zambia,Cross-border,0,"Normal_Fan_Out,"
PHIRI,Amanda,7877700106,2534644942,4377.49,21260,16882.51,Pula,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Powell,Theresa,7556874867,8092477684,3716.48,11225,7508.52,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Small_Fan_Out,"
Robinson,Kenneth,3712660061,2534644942,29181.32,63982.57,34801.25,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Robinson,Frederick,4121324384,148220861,6483.46,11335,4851.54,rands,Rands,Spain,Zambia,Cross-border,0,"Normal_Fan_Out,"
ROBSON,Joshua,3565108277,6646502650,13916,30268,16352,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Sengwe,Jonathan,9488075004,9108447968,17637.13,30732,13094.87,us dollar,pula,ZIM,Zambia,Cross-border,1,"Structuring,"
SHUMBA,James,4353995266,6646502650,3780.47,4709.52,929.05,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Smith,Kathryn,5083667611,6646502650,25691.16,43605,17913.84,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Smith,Brooke,6345198198,1036645791,4994.3,32204.57,27210.28,us dollar,Rands,ZIM,Zambia,Cross-border,1,"Behavioural_Change_1,"
Spencer,Joseph,5264015348,6646502650,13870.79,99718,85847.21,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Sullivan,Thomas,4696164729,7882637641,4258,19822,15564,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Small_Fan_Out,"
Tucker,Monica,3510078932,2749487707,27034.82,30792,3757.18,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_Out,"
Tyler,Mark,7335976595,9108447968,8240.31,20521,12280.69,us dollar,Rands,ZIM,Zambia,Cross-border,1,"Structuring,"
VENGE,Gerald,5714926472,2534644942,634.95,30365,29730.05,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Villarreal,Rachel,7512140206,6646502650,6022.44,10107,4084.56,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Villegas,Stacy,5309124465,2534644942,7308.38,20393,13084.62,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
VIYAZHI,Vincent,5714926472,2534644942,20489.34,22603,2113.66,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
VUDZIJENA,Samuel,5714926472,2534644942,644.23,8768,8123.77,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Wade,Paul,9580371702,6646502650,6159.35,92732,86572.65,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Walters,Kevin,3565108277,6646502650,3728.6,9552,5823.4,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Warner,Larry,5264015348,6646502650,33588.95,5831213.68,5797624.73,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Young,Curtis,6456964355,6646502650,654.57,19148,18493.43,us dollar,Rands,ZIM,Zambia,Cross-border,0,"Normal_Fan_In,"
Chakaipa,Theresa,67242300,4238581262,127286.79,981,128267.79,us dollar,US dollar,ZIM,ZIM,ACH,1,"Fan_In,"
Chakandama,Charles,78750373,3919105611,4531.55,20125,15593.45,us dollar,US dollar,ZIM,ZIM,ACH,1,"Layered_Fan_In,"
CHAKANYUKA,Daniel,7911678176,6890773508,1982.04,21543,19560.96,Yen,US dollar,Japan,ZIM,Cross-border,1,"Structuring,"
CHAKAVARIKA,Savannah,5939286319,8327388411,2254.19,10595,8340.81,us dollar,US dollar,ZIM,ZIM,Cash Deposit,1,"Smurfing,"
CHAKOMBERA,LUCIAN FARAI,757928908,6083019593,511519.11,16600000,17114086.96,us dollar,US dollar,ZIM,ZIM,Credit card,0,"Normal_Group,"
Chakona,TINOTENDA,96933227,8172080174,2390.37,11547,9156.63,us dollar,US dollar,ZIM,ZIM,Cheque,0,"Normal_Fan_In,"
Chakonda,DANIEL,109525315,8518184956,255277.27,264,255541.27,us dollar,US dollar,ZIM,ZIM,Credit card,0,"Normal_Fan_In,"
CHAKONZA,Jennifer,7924551009,7199625988,6331.99,18417,12085.01,us dollar,US dollar,ZIM,ZIM,Cheque,0,"Normal_Fan_In,"
Chakota,TINOTENDA SAMSON,115683040,8355337252,7933.27,137,8070.27,us dollar,US dollar,ZIM,ZIM,Cheque,1,"Deposit-Send,"
Chamboko,SANDRA TINOTENDA,120902347,5709569908,296837.42,19834,316671.42,us dollar,US dollar,ZIM,ZIM,ACH,1,"Structuring,"
CHAMBOKO,Tammy,7931564408,459201377,8414.06,40092.72,31678.66,us dollar,US dollar,ZIM,ZIM,Credit card,1,"Structuring,"
CHAMBURUKA,Dakota,7954210371,5709569908,2503.29,202248,199744.71,us dollar,US dollar,ZIM,ZIM,Credit card,1,"Structuring,"
CHAMWADA,Megan,3696248769,3364557136,6295.05,20746,14450.95,us dollar,US dollar,ZIM,ZIM,Credit card,0,"Normal_Small_Fan_Out,"
CHANDAVENGERWA,Robert,7961386656,7587659508,8901.29,30948,22046.71,us dollar,US dollar,ZIM,ZIM,Credit card,0,"Normal_Fan_In,"
Chandengenda,TINOTENDA WYNE,128336607,6953672776,83493.18,119,83612.18,us dollar,US dollar,ZIM,ZIM,Cross-border,0,"Normal_Fan_In,"
Change,PRINCE TAFADZWA,128336607,6953672776,18095.36,11930628.37,11948723.72,us dollar,US dollar,ZIM,ZIM,Cross-border,0,"Normal_Fan_In,"
Chapangura,NGONIDZASHE LAST,142007788,9696157978,379413.17,2174,381587.17,us dollar,US dollar,ZIM,ZIM,Debit card,1,"Structuring,"
Chapara,MCDOUGALL M S,149944640,1345900627,180636.82,12311224.31,12491861.13,us dollar,US dollar,ZIM,ZIM,Debit card,1,"Single_large,"
Chaparika,LEONAH,149944640,4619052265,320286.45,10056098.69,10376385.15,us dollar,US dollar,ZIM,ZIM,ACH,1,"Single_large,"
Chaparira,YOLANDA ZVIKOMBORERO,179827414,1368077168,261084.91,10782086.22,11043171.14,us dollar,US dollar,ZIM,ZIM,Debit card,0,"Normal_Fan_In,"
Charamba,MARVELOUS,193293371,4271134204,2273.88,10946,8672.12,us dollar,US dollar,ZIM,ZIM,ACH,0,"Normal_Small_Fan_Out,"
Charandura,ENESIA NOKUTENDA,195640366,5169868360,140462.95,11118050.41,11258513.36,us dollar,US dollar,ZIM,ZIM,Credit card,1,"Layered_Fan_In,"
CHAREKA,Erica,6637479118,3635240194,17133.3,30732,13598.7,us dollar,US dollar,ZIM,ZIM,Credit card,1,"Bipartite,"
Chari,KUDAKWASHE LEONORAH,198403508,1316458123,386260.77,19064,405324.77,us dollar,US dollar,ZIM,ZIM,Cross-border,0,"Normal_Fan_In,"
Charuka,DEBRA,198403508,1316458123,21098.49,81092,59993.51,us dollar,US dollar,ZIM,ZIM,Cross-border,0,"Normal_Fan_In,"
Charumbira,OBEY MWAAKA,207936746,6283846212,120302.98,10566228.29,10686531.27,us dollar,US dollar,ZIM,ZIM,Credit card,1,"Single_large,"
Charungura,CHISHUWO,207936746,4910654618,182861.45,3218806.87,3401668.32,us dollar,US dollar,ZIM,ZIM,Cheque,1,"Single_large,"
CHASAKARA,Jill,7965734340,7865580087,7154.46,10115,2960.54,us dollar,US dollar,ZIM,ZIM,Credit card,0,"Normal_Small_Fan_Out,"
Chasakwa,BLESSING,218429315,5030100545,21585.95,15482,37067.95,us dollar,US dollar,ZIM,ZIM,Cash Deposit,1,"Deposit-Send,"
Chataika,BLESSING TAFADZWA,264095857,1316458123,3785.49,20426,16640.51,us dollar,US dollar,ZIM,ZIM,Cross-border,0,"Normal_Fan_In,"
Chatambarara,SADIA,264095857,1316458123,9.53,774,764.47,us dollar,US dollar,ZIM,ZIM,Cross-border,0,"Normal_Fan_In,"
Chatikita,THELMA,264095857,1316458123,9059.91,29303,20243.09,us dollar,US dollar,ZIM,ZIM,Cross-border,0,"Normal_Fan_In,"
CHATINDO,Steven,5908415733,8556114478,4859.63,41376.39,36516.76,us dollar,US dollar,Russia,ZIM,Credit card,0,"Normal_Small_Fan_Out,"
Chatora,TRISH CHENGETAI,264095857,1316458123,12505.47,107550,95044.53,us dollar,US dollar,ZIM,ZIM,Cross-border,0,"Normal_Fan_In,"
Chatukuta,EMINIA,266182901,2412223098,177813.6,10819079.16,10996892.76,us dollar,US dollar,ZIM,ZIM,Credit card,1,"Scatter-Gather,"
CHAUKE,Michael,7974678005,1757764863,7853.15,11308,3454.85,us dollar,US dollar,ZIM,ZIM,Debit card,1,"Structuring,"
CHAUMBA,Kenneth,7978501298,1518359693,10255.93,20414,10158.07,us dollar,US dollar,ZIM,ZIM,Credit card,0,"Normal_Small_Fan_Out,"
CHAURUKA,Lauren,2668490608,2270692959,3891.04,40512,36620.96,us dollar,US dollar,ZIM,ZIM,Cheque,0,"Normal_Mutual,"
CHAURUKA,Melissa,58594825,6953672776,220080.7,6072,226152.7,us dollar,US dollar,Russia,ZIM,Cross-border,0,"Normal_Fan_In,"
Chavarika,KENETH TENDAI,285552105,5668411164,6784.39,21226,14441.61,us dollar,US dollar,ZIM,ZIM,Cash Deposit,1,"Deposit-Send,"
Chavez,EDWIN,461573471,9054988654,171674.26,12577493.04,12749167.3,us dollar,kwacha,ZIM,zim,Cross-border,0,"Normal_Small_Fan_Out,"
Chavez,Erin,3518494338,2058371508,17924.16,20927,3002.84,us dollar,US dollar,ZIM,ZIM,Credit card,1,"Fan_In,"
